cluster_id	cluster_written	reads_found	reads_found_fwd	reads_found_rev	reads_written_fwd	reads_written_rev	reads_skipped_fwd	reads_skipped_rev
100_sub3	1	25	12	13	10	10	2	3
10040_sub1	1	20	13	7	13	7	0	0
10062_sub1	1	11	5	6	5	6	0	0
10071_sub1	1	11	4	7	4	7	0	0
10074_sub1	1	64	25	39	10	10	15	29
10076_sub0	1	74	34	40	10	10	24	30
10085_sub0	1	36	20	16	10	10	10	6
101_sub3	1	41	22	19	10	10	12	9
10121_sub0	1	24	13	11	10	10	3	1
10134_sub0	1	39	14	25	10	10	4	15
10142_sub0	1	68	34	34	10	10	24	24
10145_sub0	1	38	20	18	10	10	10	8
10150_sub2	1	72	38	34	10	10	28	24
10166_sub0	1	72	44	28	10	10	34	18
1017_sub1	1	105	50	55	10	10	40	45
10187_sub1	1	36	24	12	10	10	14	2
1019_sub1	1	70	45	25	10	10	35	15
102_sub1	1	79	31	48	10	10	21	38
10220_sub1	1	6	3	3	3	3	0	0
10222_sub4	1	75	38	37	10	10	28	27
1024_sub3	1	80	42	38	10	10	32	28
10249_sub1	1	66	33	33	10	10	23	23
10253_sub0	1	53	19	34	10	10	9	24
1027_sub3	1	50	19	31	10	10	9	21
10274_sub0	1	49	26	23	10	10	16	13
10275_sub7	1	53	27	26	10	10	17	16
103_sub2	1	72	36	36	10	10	26	26
10303_sub1	1	16	8	8	8	8	0	0
10305_sub0	1	74	35	39	10	10	25	29
10315_sub1	1	49	26	23	10	10	16	13
1032_sub1	1	49	29	20	10	10	19	10
10322_sub1	1	23	11	12	10	10	1	2
10343_sub2	1	32	18	14	10	10	8	4
1038_sub2	1	50	22	28	10	10	12	18
10402_sub0	1	89	41	48	10	10	31	38
10429_sub0	1	40	20	20	10	10	10	10
10433_sub0	1	60	27	33	10	10	17	23
10465_sub2	1	41	25	16	10	10	15	6
1049_sub1	1	51	29	22	10	10	19	12
1050_sub1	1	9	5	4	5	4	0	0
10504_sub1	1	15	8	7	8	7	0	0
10512_sub0	1	61	27	34	10	10	17	24
10523_sub0	1	82	40	42	10	10	30	32
10561_sub0	1	74	35	39	10	10	25	29
10567_sub0	1	22	15	7	13	7	2	0
10576_sub0	1	26	12	14	10	10	2	4
10584_sub1	1	86	48	38	10	10	38	28
10589_sub0	1	47	20	27	10	10	10	17
1059_sub1	1	33	16	17	10	10	6	7
1062_sub1	1	66	32	34	10	10	22	24
1064_sub5	1	45	19	26	10	10	9	16
1065_sub1	1	96	47	49	10	10	37	39
1067_sub2	1	65	30	35	10	10	20	25
1070_sub1	1	67	30	37	10	10	20	27
10709_sub1	1	65	27	38	10	10	17	28
10717_sub1	1	35	22	13	10	10	12	3
10722_sub2	1	45	17	28	10	10	7	18
1073_sub0	1	84	35	49	10	10	25	39
10740_sub0	1	8	0	8	0	8	0	0
10740_sub5	1	15	15	0	15	0	0	0
1075_sub1	1	60	28	32	10	10	18	22
10754_sub0	1	34	19	15	10	10	9	5
1076_sub1	1	42	22	20	10	10	12	10
10762_sub0	1	11	6	5	6	5	0	0
10785_sub1	1	29	23	6	14	6	9	0
10787_sub1	1	17	11	6	11	6	0	0
1079_sub1	1	76	39	37	10	10	29	27
10792_sub1	1	10	3	7	3	7	0	0
10815_sub2	1	20	0	20	0	20	0	0
10815_sub3	1	29	29	0	20	0	9	0
1083_sub2	1	55	26	29	10	10	16	19
10855_sub0	1	22	9	13	9	11	0	2
10857_sub1	1	22	11	11	10	10	1	1
1086_sub1	1	79	33	46	10	10	23	36
10866_sub0	1	29	17	12	10	10	7	2
1088_sub2	1	87	43	44	10	10	33	34
10894_sub1	1	17	8	9	8	9	0	0
10903_sub1	1	9	2	7	2	7	0	0
1091_sub1	1	43	26	17	10	10	16	7
10927_sub0	1	28	9	19	9	11	0	8
1093_sub1	1	12	6	6	6	6	0	0
10940_sub1	1	46	22	24	10	10	12	14
10947_sub0	1	63	31	32	10	10	21	22
10953_sub1	1	77	31	46	10	10	21	36
10958_sub0	1	39	18	21	10	10	8	11
10968_sub3	1	63	31	32	10	10	21	22
1097_sub2	1	61	30	31	10	10	20	21
10970_sub1	1	8	5	3	5	3	0	0
10986_sub1	1	38	19	19	10	10	9	9
1099_sub1	1	50	23	27	10	10	13	17
11042_sub2	1	36	18	18	10	10	8	8
11060_sub2	1	30	13	17	10	10	3	7
11069_sub1	1	11	3	8	3	8	0	0
11098_sub0	1	12	6	6	6	6	0	0
111_sub1	1	60	28	32	10	10	18	22
11100_sub2	1	75	32	43	10	10	22	33
11101_sub0	1	36	19	17	10	10	9	7
1111_sub1	1	15	6	9	6	9	0	0
11115_sub1	1	40	32	8	12	8	20	0
11118_sub1	1	84	51	33	10	10	41	23
1112_sub2	1	39	23	16	10	10	13	6
1113_sub2	1	34	11	23	10	10	1	13
1115_sub3	1	54	23	31	10	10	13	21
1116_sub3	1	39	17	22	10	10	7	12
11177_sub2	1	57	27	30	10	10	17	20
11180_sub1	1	32	0	32	0	20	0	12
11191_sub0	1	33	18	15	10	10	8	5
11201_sub0	1	43	19	24	10	10	9	14
11208_sub1	1	72	33	39	10	10	23	29
1121_sub1	1	60	27	33	10	10	17	23
11214_sub0	1	69	38	31	10	10	28	21
11232_sub1	1	17	11	6	11	6	0	0
1124_sub1	1	86	39	47	10	10	29	37
1126_sub1	1	27	13	14	10	10	3	4
11268_sub0	1	23	11	12	10	10	1	2
11275_sub1	1	38	22	16	10	10	12	6
11296_sub2	1	29	14	15	10	10	4	5
113_sub5	1	68	36	32	10	10	26	22
11306_sub2	1	39	23	16	10	10	13	6
11311_sub0	1	36	17	19	10	10	7	9
11314_sub1	1	34	20	14	10	10	10	4
11320_sub2	1	7	5	2	5	2	0	0
11334_sub2	1	18	8	10	8	10	0	0
11340_sub1	1	44	19	25	10	10	9	15
11355_sub1	1	70	33	37	10	10	23	27
1136_sub1	1	6	6	0	6	0	0	0
11379_sub1	1	56	28	28	10	10	18	18
11381_sub0	1	7	4	3	4	3	0	0
1141_sub1	1	22	12	10	10	10	2	0
11410_sub1	1	76	36	40	10	10	26	30
1143_sub2	1	84	51	33	10	10	41	23
11433_sub0	1	22	13	9	11	9	2	0
1144_sub1	1	53	26	27	10	10	16	17
1145_sub3	1	50	0	50	0	20	0	30
1145_sub8	1	52	52	0	20	0	32	0
11468_sub0	1	54	25	29	10	10	15	19
11473_sub0	1	14	9	5	9	5	0	0
11492_sub0	1	23	15	8	12	8	3	0
1150_sub1	1	69	35	34	10	10	25	24
1151_sub1	1	9	6	3	6	3	0	0
11513_sub0	1	42	25	17	10	10	15	7
11514_sub0	1	48	20	28	10	10	10	18
11524_sub1	1	9	0	9	0	9	0	0
1154_sub1	1	19	13	6	13	6	0	0
11542_sub1	1	8	5	3	5	3	0	0
1155_sub2	1	62	31	31	10	10	21	21
11554_sub0	1	43	24	19	10	10	14	9
1157_sub1	1	87	42	45	10	10	32	35
1160_sub0	1	9	0	9	0	9	0	0
1160_sub1	1	13	13	0	13	0	0	0
11622_sub1	1	80	34	46	10	10	24	36
11635_sub0	1	30	12	18	10	10	2	8
11657_sub1	1	17	8	9	8	9	0	0
11668_sub1	1	11	5	6	5	6	0	0
1167_sub1	1	48	31	17	10	10	21	7
11701_sub0	1	62	32	30	10	10	22	20
1171_sub4	1	58	23	35	10	10	13	25
11730_sub2	1	24	9	15	9	11	0	4
11744_sub1	1	76	30	46	10	10	20	36
11749_sub1	1	39	19	20	10	10	9	10
1175_sub3	1	83	27	56	10	10	17	46
11758_sub1	1	11	4	7	4	7	0	0
11760_sub0	1	34	15	19	10	10	5	9
11775_sub1	1	49	23	26	10	10	13	16
11780_sub1	1	23	11	12	10	10	1	2
11783_sub1	1	20	10	10	10	10	0	0
11794_sub0	1	75	39	36	10	10	29	26
118_sub1	1	92	42	50	10	10	32	40
1180_sub1	1	26	17	9	11	9	6	0
11822_sub0	1	35	16	19	10	10	6	9
1184_sub2	1	30	15	15	10	10	5	5
1185_sub1	1	69	34	35	10	10	24	25
11854_sub1	1	29	13	16	10	10	3	6
11865_sub1	1	11	4	7	4	7	0	0
11872_sub1	1	40	0	40	0	20	0	20
1188_sub3	1	22	0	22	0	20	0	2
1188_sub6	1	27	27	0	20	0	7	0
11880_sub1	1	37	12	25	10	10	2	15
11897_sub0	1	22	10	12	10	10	0	2
11904_sub1	1	47	28	19	10	10	18	9
11914_sub0	1	48	19	29	10	10	9	19
1192_sub1	1	26	12	14	10	10	2	4
1195_sub1	1	67	32	35	10	10	22	25
11965_sub0	1	39	16	23	10	10	6	13
11969_sub1	1	49	24	25	10	10	14	15
11971_sub1	1	18	9	9	9	9	0	0
1198_sub3	1	19	6	13	6	13	0	0
11992_sub1	1	43	20	23	10	10	10	13
12016_sub0	1	47	26	21	10	10	16	11
12049_sub1	1	68	37	31	10	10	27	21
12058_sub1	1	31	16	15	10	10	6	5
12068_sub1	1	26	14	12	10	10	4	2
1207_sub1	1	34	14	20	10	10	4	10
1209_sub2	1	60	27	33	10	10	17	23
12111_sub0	1	25	15	10	10	10	5	0
12123_sub1	1	40	15	25	10	10	5	15
1213_sub3	1	94	39	55	10	10	29	45
12156_sub0	1	41	15	26	10	10	5	16
12165_sub1	1	42	25	17	10	10	15	7
1218_sub3	1	91	40	51	10	10	30	41
12184_sub0	1	66	28	38	10	10	18	28
1219_sub1	1	37	22	15	10	10	12	5
122_sub3	1	55	25	30	10	10	15	20
1220_sub3	1	17	9	8	9	8	0	0
1221_sub1	1	76	35	41	10	10	25	31
1223_sub1	1	38	18	20	10	10	8	10
12232_sub0	1	51	21	30	10	10	11	20
12259_sub1	1	75	33	42	10	10	23	32
1227_sub6	1	88	42	46	10	10	32	36
1229_sub2	1	54	20	34	10	10	10	24
12308_sub0	1	55	30	25	10	10	20	15
1233_sub0	1	75	35	40	10	10	25	30
12335_sub1	1	87	40	47	10	10	30	37
12364_sub1	1	12	7	5	7	5	0	0
12365_sub0	1	35	20	15	10	10	10	5
12374_sub1	1	24	14	10	10	10	4	0
12387_sub2	1	9	4	5	4	5	0	0
12398_sub0	1	35	16	19	10	10	6	9
124_sub1	1	96	48	48	10	10	38	38
1240_sub2	1	26	13	13	10	10	3	3
12402_sub0	1	21	10	11	10	10	0	1
12406_sub0	1	30	14	16	10	10	4	6
12407_sub0	1	21	12	9	11	9	1	0
12413_sub0	1	90	43	47	10	10	33	37
12445_sub0	1	50	26	24	10	10	16	14
12454_sub1	1	9	4	5	4	5	0	0
1246_sub1	1	61	25	36	10	10	15	26
12496_sub1	1	58	29	29	10	10	19	19
12497_sub0	1	30	17	13	10	10	7	3
12503_sub1	1	15	9	6	9	6	0	0
12506_sub1	1	44	28	16	10	10	18	6
12508_sub1	1	49	19	30	10	10	9	20
12514_sub1	1	21	11	10	10	10	1	0
12544_sub3	1	34	18	16	10	10	8	6
12546_sub0	1	43	17	26	10	10	7	16
1257_sub2	1	31	13	18	10	10	3	8
